tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115N04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66828,-112.1766,33.66935,-112.161,0.903463,36,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66828,-112.1766,33.66935,-112.161,0.903463,36,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04137,AZ-101-LOOP,CLOCKWISE,51ST AVE/EXIT 20,AZ,MARICOPA,85308,33.66828,-112.1766,33.66935,-112.161,0.903463,36,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66935,-112.161,33.66954,-112.14014,1.199391,37,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66935,-112.161,33.66954,-112.14014,1.199391,37,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66935,-112.161,33.66954,-112.14014,1.199388,37,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66935,-112.161,33.66954,-112.14014,1.199388,37,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66935,-112.161,33.66954,-112.14014,1.199388,37,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66954,-112.14014,33.66909,-112.13467,0.317499,38,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66954,-112.14014,33.66909,-112.13467,0.317499,38,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66954,-112.14014,33.66909,-112.13467,0.317498,38,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66954,-112.14014,33.66909,-112.13467,0.317498,38,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04138,AZ-101-LOOP,CLOCKWISE,35TH AVE/EXIT 22,AZ,MARICOPA,85308,33.66954,-112.14014,33.66909,-112.13467,0.317498,38,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66909,-112.13467,33.66864,-112.12732,0.425474,39,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66909,-112.13467,33.66864,-112.12732,0.425474,39,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66909,-112.13467,33.66864,-112.12732,0.425473,39,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66909,-112.13467,33.66864,-112.12732,0.425473,39,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66909,-112.13467,33.66864,-112.12732,0.425473,39,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66864,-112.12732,33.66865,-112.11697,0.595055,40,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66864,-112.12732,33.66865,-112.11697,0.595055,40,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66864,-112.12732,33.66865,-112.11697,0.595053,40,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66864,-112.12732,33.66865,-112.11697,0.595053,40,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04139,AZ-101-LOOP,CLOCKWISE,27TH AVE,AZ,MARICOPA,85027,33.66864,-112.12732,33.66865,-112.11697,0.595053,40,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66865,-112.11697,33.66864,-112.11639,0.033353,41,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66865,-112.11697,33.66864,-112.11639,0.033353,41,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66865,-112.11697,33.66864,-112.11639,0.033353,41,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66865,-112.11697,33.66864,-112.11639,0.033353,41,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66865,-112.11697,33.66864,-112.11639,0.033353,41,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66864,-112.11639,33.66952,-112.09772,1.077861,42,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66864,-112.11639,33.66952,-112.09772,1.077861,42,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66864,-112.11639,33.66952,-112.09772,1.077858,42,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66864,-112.11639,33.66952,-112.09772,1.077858,42,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04140,AZ-101-LOOP,CLOCKWISE,I-17/EXIT 23,AZ,MARICOPA,85027,33.66864,-112.11639,33.66952,-112.09772,1.077858,42,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66952,-112.09772,33.66959,-112.09524,0.142708,43,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66952,-112.09772,33.66959,-112.09524,0.142708,43,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66952,-112.09772,33.66959,-112.09524,0.142707,43,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66952,-112.09772,33.66959,-112.09524,0.142707,43,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66952,-112.09772,33.66959,-112.09524,0.142707,43,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66959,-112.09524,33.66939,-112.09151,0.215066,44,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66959,-112.09524,33.66939,-112.09151,0.215066,44,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66959,-112.09524,33.66939,-112.09151,0.215066,44,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66959,-112.09524,33.66939,-112.09151,0.215066,44,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04374,AZ-101-LOOP,CLOCKWISE,19TH AVE/EXIT 24,AZ,MARICOPA,85027,33.66959,-112.09524,33.66939,-112.09151,0.215066,44,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66939,-112.09151,33.66921,-112.09007,0.083723,45,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66939,-112.09151,33.66921,-112.09007,0.083723,45,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66939,-112.09151,33.66921,-112.09007,0.083723,45,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66939,-112.09151,33.66921,-112.09007,0.083723,45,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66939,-112.09151,33.66921,-112.09007,0.083723,45,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66921,-112.09007,33.66871,-112.07713,0.746925,46,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66921,-112.09007,33.66871,-112.07713,0.746925,46,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66921,-112.09007,33.66871,-112.07713,0.746923,46,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66921,-112.09007,33.66871,-112.07713,0.746923,46,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04375,AZ-101-LOOP,CLOCKWISE,7TH AVE/EXIT 25,AZ,MARICOPA,85027,33.66921,-112.09007,33.66871,-112.07713,0.746923,46,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85027,33.66871,-112.07713,33.66876,-112.07275,0.251848,47,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85027,33.66871,-112.07713,33.66876,-112.07275,0.251848,47,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85027,33.66871,-112.07713,33.66876,-112.07275,0.251848,47,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85027,33.66871,-112.07713,33.66876,-112.07275,0.251848,47,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85027,33.66871,-112.07713,33.66876,-112.07275,0.251848,47,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115N04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66876,-112.07275,33.66898,-112.05849,0.820003,48,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115+04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.61779,-111.89129,33.6296,-111.89024,0.818749,48,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66876,-112.07275,33.66898,-112.05849,0.820003,48,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115+04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.61779,-111.89129,33.6296,-111.89024,0.818749,48,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66876,-112.07275,33.66898,-112.05849,0.820001,48,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115+04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.61779,-111.89129,33.62959999,-111.89024,0.818747,48,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66876,-112.07275,33.66898,-112.05849,0.820001,48,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115+04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.61779,-111.89129,33.62959999,-111.89024,0.818747,48,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04376,AZ-101-LOOP,CLOCKWISE,7TH ST/EXIT 26,AZ,MARICOPA,85024,33.66876,-112.07275,33.66898,-112.05849,0.820001,48,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115+04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.61779,-111.89129,33.62959999,-111.89024,0.818747,48,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115P04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6296,-111.89024,33.63686,-111.8902,0.501552,49,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.66898,-112.05849,33.6702,-112.03737,1.227586,49,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115P04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6296,-111.89024,33.63686,-111.8902,0.501552,49,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.66898,-112.05849,33.6702,-112.03737,1.227586,49,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115P04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6296,-111.89024,33.63686,-111.8902,0.501551,49,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.66898,-112.05849,33.6702,-112.03737,1.227583,49,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115P04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6296,-111.89024,33.63686,-111.8902,0.501551,49,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.66898,-112.05849,33.6702,-112.03737,1.227583,49,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115P04372,AZ-101-LOOP,COUNTERCLOCKWISE,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6296,-111.89024,33.63686,-111.8902,0.501551,49,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115-04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85024,33.66898,-112.05849,33.6702,-112.03737,1.227583,49,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115+04372,AZ-101-LOOP,NORTHBOUND,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.61779,-111.89129,33.6296,-111.89024,0.818749,50,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.6702,-112.03737,33.67265,-112.02306,0.850539,50,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115+04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85260,33.63686,-111.8902,33.64061,-111.89029,0.259359,50,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.6702,-112.03737,33.67265,-112.02306,0.850539,50,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115+04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85260,33.63686,-111.8902,33.64061,-111.89029,0.259359,50,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115N04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.6702,-112.03737,33.67265,-112.02306,0.850537,50,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115+04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85260,33.63686,-111.8902,33.64061,-111.89029,0.259358,50,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115N04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.6702,-112.03737,33.67265,-112.02306,0.850537,50,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115+04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85260,33.63686,-111.8902,33.64061,-111.89029,0.259358,50,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115N04377,AZ-101-LOOP,CLOCKWISE,CAVE CREEK RD/N 28TH ST/EXIT 28,AZ,MARICOPA,85050,33.6702,-112.03737,33.67265,-112.02306,0.850537,50,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115+04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85260,33.63686,-111.8902,33.64061,-111.89029,0.259358,50,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115P04372,AZ-101-LOOP,NORTHBOUND,FRANK LLOYD WRIGHT BLVD/EXIT 38,AZ,MARICOPA,85260,33.6296,-111.89024,33.63686,-111.8902,0.501552,51,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.02306,33.67265,-112.00683,0.933221,51,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115P04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.64061,-111.89029,33.65036,-111.89636,0.774745,51,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115-05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.02306,33.67265,-112.00683,0.933221,51,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115P04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.64061,-111.89029,33.65036,-111.89636,0.774745,51,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
115-05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.02306,33.67265,-112.00683,0.933218,51,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115P04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.64061,-111.89029,33.65035999,-111.89636,0.774743,51,America/Phoenix,P1.11,USA,2020-03-31 07:00:00-04:00,2020-09-29 14:00:00-04:00
115-05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.02306,33.67265,-112.00683,0.933218,51,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115P04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.64061,-111.89029,33.65035999,-111.89636,0.774743,51,America/Phoenix,P1.11,USA,2020-09-29 14:00:00-04:00,2021-03-30 14:00:00-04:00
115-05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.02306,33.67265,-112.00683,0.933218,51,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115P04373,AZ-101-LOOP,COUNTERCLOCKWISE,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85255,33.64061,-111.89029,33.65035999,-111.89636,0.774743,51,America/Phoenix,P1.11,USA,2021-03-30 14:00:00-04:00,null
115+04373,AZ-101-LOOP,NORTHBOUND,PRINCESS DR/PIMA RD/EXIT 36,AZ,MARICOPA,85260,33.63686,-111.8902,33.64061,-111.89029,0.259359,52,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.00683,33.6728,-111.98856,1.063263,52,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115+05164,AZ-101-LOOP,COUNTERCLOCKWISE,HAYDEN RD/EXIT 35,AZ,MARICOPA,85255,33.65036,-111.89636,33.65314,-111.9015,0.353865,52,America/Phoenix,P1.11,USA,2019-04-16 17:00:00-04:00,2019-10-08 15:00:00-04:00
115N05163,AZ-101-LOOP,CLOCKWISE,AZ-51/EXIT 29,AZ,MARICOPA,85050,33.67265,-112.00683,33.6728,-111.98856,1.063263,52,America/Phoenix,P1.11,USA,2019-10-08 15:00:00-04:00,2020-03-31 07:00:00-04:00
